Name,EAN/UPC,Brand,Model Type,Model Number,Category,Sub-Category,Brand Color,Color,Compatible Device,Type (Name),Type,Microphone,Warranty,Warranty Summary,Description,Image1,Image2,Image3,Image4,Image5,Image6,Image7,Video URL,Sales Package,Quantity,Tax,Price,Wholesale Price,Firstsale Price,Special Price From,Special Price To,Height,Depth,Weight,Meta Title,Meta Description,Meta Keyword,Key Features
B&O Beoplay H8 Wireless Headphone - Gray Hazel,5.70526E+12,B&O,Beoplay H8 Wireless,,Earphones & Headphones,Wireless Headphones,Gray Hazel,Black,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,"Premium wireless, active noise cancellation on-ear headphone. Up to 14 hours with Bluetooth and ANC and up to 16 hours with Bluetooth.",B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_1.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_2.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_3.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_4.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_5.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_6.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Gray_Hazel_7.jpeg,,1,1,5,39990,,,,,,,,,,,
B&O Beoplay H8 Wireless Headphone - Argilla Bright,5.70526E+12,B&O,Beoplay H8 Wireless,,Earphones & Headphones,Wireless Headphones,Argilla Bright,Cream,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,"Premium wireless, active noise cancellation on-ear headphone. Up to 14 hours with Bluetooth and ANC and up to 16 hours with Bluetooth.",B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_1.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_2.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_3.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_4.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_5.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_6.jpeg,B&O_Beoplay_H8_Wireless_Headphone_Argilla_Bright_7.jpeg,,1,1,5,39990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Black,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Black,Black,Phone,Headphone,"On The Ear, Stereo, Noice Cancelling",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Black_1.jpeg,B&O_Beoplay_H6_Headphone_Black_2.jpeg,B&O_Beoplay_H6_Headphone_Black_3.jpeg,B&O_Beoplay_H6_Headphone_Black_4.jpeg,B&O_Beoplay_H6_Headphone_Black_5.jpeg,B&O_Beoplay_H6_Headphone_Black_6.jpeg,B&O_Beoplay_H6_Headphone_Black_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Natural,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Natural,Brown,Phone,Headphone,"Over The Ear, Stereo",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Natural_1.jpeg,B&O_Beoplay_H6_Headphone_Natural_2.jpeg,B&O_Beoplay_H6_Headphone_Natural_3.jpeg,B&O_Beoplay_H6_Headphone_Natural_4.jpeg,B&O_Beoplay_H6_Headphone_Natural_5.jpeg,B&O_Beoplay_H6_Headphone_Natural_6.jpeg,B&O_Beoplay_H6_Headphone_Natural_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H6 Headphone - Black Golden,5.70526E+12,B&O,Beoplay H6,,Earphones & Headphones,Headphones,Black Golden,Black,Phone,Headphone,"Over The Ear, Stereo",With Microphone,2 Years Warranty,,Authentic and well-balanced sound experience from elegant over-ear headphone.,B&O_Beoplay_H6_Headphone_Black_Golden_1.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_2.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_3.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_4.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_5.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_6.jpeg,B&O_Beoplay_H6_Headphone_Black_Golden_7.jpeg,,1,1,5,34990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Carbon Blue,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Carbon Blue,Blue,Phone,Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Carbon_Blue_1.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_2.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_3.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_4.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_5.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_6.jpeg,B&O_Beoplay_H2_Headphone_Carbon_Blue_7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Feldspar Green,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Feldspar Green,Green,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Feldspar_Green_1.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_2.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_3.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_4.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_5.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_6.jpeg,B&O_Beoplay_H2_Headphone_Feldspar_Green_7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Beoplay H2 Headphone - Silver Cloud ,5.70526E+12,B&O,Beoplay H2,,Earphones & Headphones,Headphones,Silver Cloud ,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Flexible, on-ear headphone with superior sound - and microphone and remote for hassle-free control.",B&O_Beoplay_H2_Headphone_Silver_Cloud _1.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _2.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _3.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _4.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _5.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _6.jpeg,B&O_Beoplay_H2_Headphone_Silver_Cloud _7.jpeg,,1,1,5,14990,,,,,,,,,,,
B&O Form 2 Headphone - Orange,5.70526E+12,B&O,Form 2,,Earphones & Headphones,Headphones,Orange,Orange,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",Without Microphone,,,Sleek and ultra-light headphone with impressive sound.,B&O_Form_2_Headphone_Orange_1.jpeg,B&O_Form_2_Headphone_Orange_2.jpeg,B&O_Form_2_Headphone_Orange_3.jpeg,B&O_Form_2_Headphone_Orange_4.jpeg,B&O_Form_2_Headphone_Orange_5.jpeg,B&O_Form_2_Headphone_Orange_6.jpeg,B&O_Form_2_Headphone_Orange_7.jpeg,,1,1,5,10200,,,,,,,,,,,
B&O Form 2 Headphone - Yellow,5.70526E+12,B&O,Form 2,,Earphones & Headphones,Headphones,Yellow,Yellow,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",Without Microphone,,,Sleek and ultra-light headphone with impressive sound.,B&O_Form_2_Headphone_Yellow_1.jpeg,B&O_Form_2_Headphone_Yellow_2.jpeg,B&O_Form_2_Headphone_Yellow_3.jpeg,B&O_Form_2_Headphone_Yellow_4.jpeg,B&O_Form_2_Headphone_Yellow_5.jpeg,B&O_Form_2_Headphone_Yellow_6.jpeg,B&O_Form_2_Headphone_Yellow_7.jpeg,,1,1,5,10200,,,,,,,,,,,
B&O Beoplay H3 Earphone - Golden,5.70526E+12,B&O,Beoplay H3,,Earphones & Headphones,Earphones,Golden,Gold,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,2 Years Warranty,,"Powerful sound, sturdy exterior and comfortable fit.",B&O_Beoplay_H3_Earphone_Golden_1.jpeg,B&O_Beoplay_H3_Earphone_Golden_2.jpeg,B&O_Beoplay_H3_Earphone_Golden_3.jpeg,B&O_Beoplay_H3_Earphone_Golden_4.jpeg,B&O_Beoplay_H3_Earphone_Golden_5.jpeg,B&O_Beoplay_H3_Earphone_Golden_6.jpeg,B&O_Beoplay_H3_Earphone_Golden_7.jpeg,,1,1,5,15990,,,,,,,,,,,
B&O Beoplay H3 Earphone - Red,5.70526E+12,B&O,Beoplay H3,,Earphones & Headphones,Earphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,2 Years Warranty,,"Powerful sound, sturdy exterior and comfortable fit.",B&O_Beoplay_H3_Earphone_Red_1.jpeg,B&O_Beoplay_H3_Earphone_Red_2.jpeg,B&O_Beoplay_H3_Earphone_Red_3.jpeg,B&O_Beoplay_H3_Earphone_Red_4.jpeg,B&O_Beoplay_H3_Earphone_Red_5.jpeg,B&O_Beoplay_H3_Earphone_Red_6.jpeg,B&O_Beoplay_H3_Earphone_Red_7.jpeg,,1,1,5,15990,,,,,,,,,,,
B&O Beoplay H3 Earphone - Black,5.70526E+12,B&O,Beoplay H3,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,2 Years Warranty,,"Powerful sound, sturdy exterior and comfortable fit.",B&O_Beoplay_H3_Earphone_Black_1.jpeg,B&O_Beoplay_H3_Earphone_Black_2.jpeg,B&O_Beoplay_H3_Earphone_Black_3.jpeg,B&O_Beoplay_H3_Earphone_Black_4.jpeg,B&O_Beoplay_H3_Earphone_Black_5.jpeg,B&O_Beoplay_H3_Earphone_Black_6.jpeg,B&O_Beoplay_H3_Earphone_Black_7.jpeg,,1,1,5,15990,,,,,,,,,,,
B&O Earset 3i Earphone - Black,5.70526E+12,B&O,Earset 3i,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,2 Years Warranty,,Ultra light and adjustable earphone for people on the move. ,B&O_Earset_3i_Earphone_Black_1.jpeg,B&O_Earset_3i_Earphone_Black_2.jpeg,B&O_Earset_3i_Earphone_Black_3.jpeg,B&O_Earset_3i_Earphone_Black_4.jpeg,B&O_Earset_3i_Earphone_Black_5.jpeg,B&O_Earset_3i_Earphone_Black_6.jpeg,B&O_Earset_3i_Earphone_Black_7.jpeg,,1,1,5,18990,,,,,,,,,,,
B&O Earset 3i Earphone - White,5.70526E+12,B&O,Earset 3i,,Earphones & Headphones,Earphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo, Clip Ons",With Microphone,2 Years Warranty,,Ultra light and adjustable earphone for people on the move. ,B&O_Earset_3i_Earphone_White_1.jpeg,B&O_Earset_3i_Earphone_White_2.jpeg,B&O_Earset_3i_Earphone_White_3.jpeg,B&O_Earset_3i_Earphone_White_4.jpeg,B&O_Earset_3i_Earphone_White_5.jpeg,B&O_Earset_3i_Earphone_White_6.jpeg,B&O_Earset_3i_Earphone_White_7.jpeg,,1,1,5,18990,,,,,,,,,,,
Bowers&Wilkins P5 Headphone - Black,7.14346E+11,Bowers&Wilkins,P5,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Incredible soft sheep’s leather and a perfect blend of sound technology and design, P5 feels luxurious and sounds incredible.",Bowers&Wilkins_P5_Headphone_Black_1.jpeg,Bowers&Wilkins_P5_Headphone_Black_2.jpeg,Bowers&Wilkins_P5_Headphone_Black_3.jpeg,Bowers&Wilkins_P5_Headphone_Black_4.jpeg,Bowers&Wilkins_P5_Headphone_Black_5.jpeg,Bowers&Wilkins_P5_Headphone_Black_6.jpeg,Bowers&Wilkins_P5_Headphone_Black_7.jpeg,,1,1,5,25990,,,,,,,,,,,
Bowers&Wilkins P7 Headphone - Black,7.14346E+11,Bowers&Wilkins,P7,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo",With Microphone,2 Years Warranty,,A truly immersive sound combined with the luxurious comfort and impeccable build quality you expect from Bowers & Wilkins. We’ve drawn on everything we know about speaker technology and created a new standard for portable hi-fi sound quality.,Bowers&Wilkins_P7_Headphone_Black_1.jpeg,Bowers&Wilkins_P7_Headphone_Black_2.jpeg,Bowers&Wilkins_P7_Headphone_Black_3.jpeg,Bowers&Wilkins_P7_Headphone_Black_4.jpeg,Bowers&Wilkins_P7_Headphone_Black_5.jpeg,Bowers&Wilkins_P7_Headphone_Black_6.jpeg,Bowers&Wilkins_P7_Headphone_Black_7.jpeg,,1,1,5,33990,,,,,,,,,,,
Bowers&Wilkins P3 Headphone - Red,7.14346E+11,Bowers&Wilkins,P3,,Earphones & Headphones,Headphones,Red,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Light, fresh, solid-in-design, and immensely portable, the P3s deliver an exceptional sound experience. Stylish yet understated and now in a dynamic range of colours, they guarantee the wearer will stand out from the crowd.",Bowers&Wilkins_P3_Headphone_Red_1.jpeg,Bowers&Wilkins_P3_Headphone_Red_2.jpeg,Bowers&Wilkins_P3_Headphone_Red_3.jpeg,Bowers&Wilkins_P3_Headphone_Red_4.jpeg,Bowers&Wilkins_P3_Headphone_Red_5.jpeg,Bowers&Wilkins_P3_Headphone_Red_6.jpeg,Bowers&Wilkins_P3_Headphone_Red_7.jpeg,,1,1,5,17990,,,,,,,,,,,
Bowers&Wilkins P3 Headphone - White,7.14346E+11,Bowers&Wilkins,P3,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Light, fresh, solid-in-design, and immensely portable, the P3s deliver an exceptional sound experience. Stylish yet understated and now in a dynamic range of colours, they guarantee the wearer will stand out from the crowd.",Bowers&Wilkins_P3_Headphone_White_1.jpeg,Bowers&Wilkins_P3_Headphone_White_2.jpeg,Bowers&Wilkins_P3_Headphone_White_3.jpeg,Bowers&Wilkins_P3_Headphone_White_4.jpeg,Bowers&Wilkins_P3_Headphone_White_5.jpeg,Bowers&Wilkins_P3_Headphone_White_6.jpeg,Bowers&Wilkins_P3_Headphone_White_7.jpeg,,1,1,5,17990,,,,,,,,,,,
Bowers&Wilkins P3 Headphone - Blue,7.14346E+11,Bowers&Wilkins,P3,,Earphones & Headphones,Headphones,Blue,Blue,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Light, fresh, solid-in-design, and immensely portable, the P3s deliver an exceptional sound experience. Stylish yet understated and now in a dynamic range of colours, they guarantee the wearer will stand out from the crowd.",Bowers&Wilkins_P3_Headphone_Blue_1.jpeg,Bowers&Wilkins_P3_Headphone_Blue_2.jpeg,Bowers&Wilkins_P3_Headphone_Blue_3.jpeg,Bowers&Wilkins_P3_Headphone_Blue_4.jpeg,Bowers&Wilkins_P3_Headphone_Blue_5.jpeg,Bowers&Wilkins_P3_Headphone_Blue_6.jpeg,Bowers&Wilkins_P3_Headphone_Blue_7.jpeg,,1,1,5,17990,,,,,,,,,,,
Bowers&Wilkins P3 Headphone - Black,7.14346E+11,Bowers&Wilkins,P3,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"Light, fresh, solid-in-design, and immensely portable, the P3s deliver an exceptional sound experience. Stylish yet understated and now in a dynamic range of colours, they guarantee the wearer will stand out from the crowd.",Bowers&Wilkins_P3_Headphone_Black_1.jpeg,Bowers&Wilkins_P3_Headphone_Black_2.jpeg,Bowers&Wilkins_P3_Headphone_Black_3.jpeg,Bowers&Wilkins_P3_Headphone_Black_4.jpeg,Bowers&Wilkins_P3_Headphone_Black_5.jpeg,Bowers&Wilkins_P3_Headphone_Black_6.jpeg,Bowers&Wilkins_P3_Headphone_Black_7.jpeg,,1,1,5,17990,,,,,,,,,,,
Bowers&Wilkins P5 Wireless Headphone - Black,7.14346E+11,Bowers&Wilkins,P5 Wireless,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,2 Years Warranty,,"P5 performance, no wires. P5 Wireless with aptX Bluetooth sets a new standard for audio quality and convenience. With universal compatibility, 17 hour battery and P5’s award-winning drivers and materials, wireless Hi-Fi headphones are here at last.",Bowers&Wilkins_P5_Wireless_Headphone_Black_1.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_2.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_3.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_4.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_5.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_6.jpeg,Bowers&Wilkins_P5_Wireless_Headphone_Black_7.jpeg,,1,1,5,28950,,,,,,,,,,,
Bowers&Wilkins C5 Series 2 Earphone - Black,7.14346E+11,Bowers&Wilkins,C5 Series 2,,Earphones & Headphones,Earphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Earphone,"In Ear, Stereo",With Microphone,2 Years Warranty,,C5 Series 2 in-ear headphones bring you amazingly natural acoustics and fit so snugly you’ll hardly be aware you’re wearing them. The latest edition features redesigned drive units for enhanced sound quality.,Bowers&Wilkins_C5_Series_2_Earphone_Black_1.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_2.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_3.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_4.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_5.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_6.jpeg,Bowers&Wilkins_C5_Series_2_Earphone_Black_7.jpeg,,1,1,5,16712,,,,,,,,,,,
Urbanears Plattan Headphone - White,7.34006E+12,Urbanears,Plattan,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo",With Microphone,1 Year Warranty,,"Plattan headphones are the ultimate closet staples; color match them with your business attire and wear them on your way to work, put em’ on during the laid back coffee shop study sesh or add a fun twist to your workout gear.",Urbanears_Plattan_Headphone_White_1.jpeg,Urbanears_Plattan_Headphone_White_2.jpeg,Urbanears_Plattan_Headphone_White_3.jpeg,Urbanears_Plattan_Headphone_White_4.jpeg,Urbanears_Plattan_Headphone_White_5.jpeg,Urbanears_Plattan_Headphone_White_6.jpeg,Urbanears_Plattan_Headphone_White_7.jpeg,,1,1,5,5750,,,,,,,,,,,
Urbanears Plattan Headphone - Coral,7.34006E+12,Urbanears,Plattan,,Earphones & Headphones,Headphones,Coral,Pink,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"Over The Ear, Stereo",With Microphone,1 Year Warranty,,"Plattan headphones are the ultimate closet staples; color match them with your business attire and wear them on your way to work, put em’ on during the laid back coffee shop study sesh or add a fun twist to your workout gear.",Urbanears_Plattan_Headphone_Coral_1.jpeg,Urbanears_Plattan_Headphone_Coral_2.jpeg,Urbanears_Plattan_Headphone_Coral_3.jpeg,Urbanears_Plattan_Headphone_Coral_4.jpeg,Urbanears_Plattan_Headphone_Coral_5.jpeg,Urbanears_Plattan_Headphone_Coral_6.jpeg,Urbanears_Plattan_Headphone_Coral_7.jpeg,,1,1,5,5750,,,,,,,,,,,
Urbanears Zinken Headphone - Tomato,7.34006E+12,Urbanears,Zinken,,Earphones & Headphones,Headphones,Tomato,Red,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Zinken is a DJ headphone extraordinaire. Its full-size on-ear construction isolates you from outside noise, so you can hear deep bass and crisp mids and highs.",Urbanears_Zinken_Headphone_Tomato_1.jpeg,Urbanears_Zinken_Headphone_Tomato_2.jpeg,Urbanears_Zinken_Headphone_Tomato_3.jpeg,Urbanears_Zinken_Headphone_Tomato_4.jpeg,Urbanears_Zinken_Headphone_Tomato_5.jpeg,Urbanears_Zinken_Headphone_Tomato_6.jpeg,Urbanears_Zinken_Headphone_Tomato_7.jpeg,,1,1,5,12500,,,,,,,,,,,
Urbanears Zinken Headphone - White,7.34006E+12,Urbanears,Zinken,,Earphones & Headphones,Headphones,White,White,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Zinken is a DJ headphone extraordinaire. Its full-size on-ear construction isolates you from outside noise, so you can hear deep bass and crisp mids and highs.",Urbanears_Zinken_Headphone_White_1.jpeg,Urbanears_Zinken_Headphone_White_2.jpeg,Urbanears_Zinken_Headphone_White_3.jpeg,Urbanears_Zinken_Headphone_White_4.jpeg,Urbanears_Zinken_Headphone_White_5.jpeg,Urbanears_Zinken_Headphone_White_6.jpeg,Urbanears_Zinken_Headphone_White_7.jpeg,,1,1,5,12500,,,,,,,,,,,
Urbanears Zinken Headphone - Black,7.34006E+12,Urbanears,Zinken,,Earphones & Headphones,Headphones,Black,Black,"Apple Phones, Apple Ipods, Apple Ipads, Samsung Phones",Headphone,"On The Ear, Stereo",With Microphone,1 Year Warranty,,"Zinken is a DJ headphone extraordinaire. Its full-size on-ear construction isolates you from outside noise, so you can hear deep bass and crisp mids and highs.",Urbanears_Zinken_Headphone_Black_1.jpeg,Urbanears_Zinken_Headphone_Black_2.jpeg,Urbanears_Zinken_Headphone_Black_3.jpeg,Urbanears_Zinken_Headphone_Black_4.jpeg,Urbanears_Zinken_Headphone_Black_5.jpeg,Urbanears_Zinken_Headphone_Black_6.jpeg,Urbanears_Zinken_Headphone_Black_7.jpeg,,1,1,5,12500,,,,,,,,,,,
